Tag,Type,Placeholder,ID,Value,Class,Classification
input,text,Name of the User,Enter,password,form-control,1
input,text,Name of the User,Submit,Submit,form-control,1
input,text,Name of the User,Click to Enter,Cancel,form-control,1
input,text,Name of the User,Click to Login,log-in,form-control,1
input,text,Name of the User,Click to Sign In,log-in,form-control,1
input,text,Name of the User,login,log-in,form-control,1
input,text,Name of the User,login,log-in,form-control,1
input,text,Name of the User,login,OK,login-text-control-style,1
input,text,Name of the User,login,username,login-control-style,1
input,text,Name of the User,login,password,login-field-control-style,1
input,text,Name of the User,login,Submit,login-text-field-style,1
input,text,Name of the User,login,Cancel,login-text-style,1
input,text,Name of the User,login,log-in,login-text-css,1
input,text,Name of the User,login,log-in,login-control-css,1
input,text,Enter User Name,Ok,log-in,form-control,1
input,text,Enter User Name,Sign In,log-in,form-control,1
input,text,Enter User Name,Enter,log-in,form-control,1
input,text,Enter User Name,Submit,log-in,form-control,1
input,text,Enter User Name,Click to Enter,log-in,form-control,1
input,text,Enter User Name,Click to Login,log-in,form-control,1
input,text,Enter User Name,Click to Sign In,log-in,form-control,1
input,text,Enter User Name,login,log-in,form-control,1
input,text,Enter User Name,login,OK,login-text-control-style,1
input,text,Enter User Name,login,Sign-In,login-control-style,1
input,text,Enter User Name,login,Enter here,login-field-control-style,1
input,text,Enter User Name,login,submit,login-text-field-style,1
input,text,Enter User Name,login,log-in,login-text-style,1
input,text,Enter User Name,login,log-in,login-text-css,1
input,text,Enter User Name,login,log-in,login-control-css,1
input,text,Enter Login Name,Ok,Sign-In,form-control,1
input,text,Enter Login Name,Sign In,Enter here,form-control,1
input,text,Enter Login Name,Enter,submit,form-control,1
input,text,Enter Login Name,Submit,log-in,form-control,1
input,text,Enter Login Name,Click to Enter,log-in,form-control,1
input,text,Enter Login Name,Click to Login,log-in,form-control,1
input,text,Enter Login Name,Click to Sign In,Sign-In,form-control,1
input,text,Enter Login Name,login,Enter here,login-text-control-style,1
input,text,Enter Login Name,login,submit,login-control-style,1
input,text,Enter Login Name,login,log-in,login-field-control-style,1
input,text,Enter Login Name,login,log-in,login-text-field-style,1
input,text,Enter Login Name,login,log-in,login-text-style,1
input,text,Enter Login Name,login,Sign-In,login-text-css,1
input,text,Enter Login Name,login,Enter here,login-control-css,1
input,text,Input User Name,Ok,submit,form-control,1
input,text,Input User Name,Sign In,log-in,form-control,1
input,text,Input User Name,Enter,log-in,form-control,1
input,text,Input User Name,Submit,log-in,form-control,1
input,text,Input User Name,Click to Enter,submit,form-control,1
input,text,Input User Name,Click to Login,log-in,form-control,1
input,text,Input User Name,Click to Sign In,log-in,form-control,1
input,text,Input User Name,login,log-in,login-text-control-style,1
input,text,Input User Name,login,Sign-In,login-control-style,1
input,text,Input User Name,login,Enter here,login-field-control-style,1
input,text,Input User Name,login,submit,login-text-field-style,1
input,text,Input User Name,login,log-in,login-text-style,1
input,text,Input User Name,login,log-in,login-text-css,1
input,text,Input User Name,login,log-in,login-control-css,1
input,text,Input Name,Ok,Sign-In,form-control,1
input,text,Input Name,Sign In,Enter here,form-control,1
input,text,Input Name,Enter,submit,form-control,1
input,text,Input Name,Submit,log-in,form-control,1
input,text,Input Name,Click to Enter,log-in,form-control,1
input,text,Input Name,Click to Login,log-in,form-control,1
input,text,Input Name,Click to Sign In,log-in,form-control,1
input,text,Input Name,login,Sign-In,login-text-control-style,1
input,text,Input Name,login,Enter here,login-control-style,1
input,text,Input Name,login,submit,login-field-control-style,1
input,text,Input Name,login,log-in,login-text-field-style,1
input,text,Input Name,login,log-in,login-text-style,1
input,text,Input Name,login,log-in,login-text-css,1
input,text,Input Name,login,,login-control-css,1
input,text,Enter Name,Ok,,form-control,1
input,text,Enter Name,Sign In,,form-control,1
input,text,Enter Name,Enter,,form-control,1
input,text,Enter Name,Submit,,form-control,1
input,text,Enter Name,Click to Enter,login,form-control,1
input,text,Enter Name,Click to Login,login,form-control,1
input,text,Enter Name,Click to Sign In,,form-control,1
input,text,Enter Name,login,,login-text-control-style,1
input,text,Enter Name,login,username,login-control-style,1
input,text,Enter Name,login,password,login-field-control-style,1
input,text,Enter Name,login,Submit,login-text-field-style,1
input,text,Enter Name,login,Cancel,login-text-style,1
input,text,Enter Name,login,log-in,login-text-css,1
input,text,Enter Name,login,log-in,login-control-css,1
input,password,Password,password,username,form-control,1
input,password,Pwd,password,password,form-control,1
input,password,Secret Phrase,password,Submit,form-control,1
input,password,Secret Code,password,Cancel,form-control,1
input,password,Enter Pwd,password,log-in,form-control,1
input,password,Enter Password,password,log-in,form-control,1
input,password,Enter Secret Phrase,password,log-in,form-control,1
input,password,Password,pwd,log-in,form-control,1
input,password,Pwd,pwd,OK,form-control,1
input,password,Secret Phrase,pwd,username,form-control,1
input,password,Secret Code,pwd,password,form-control,1
input,password,Enter Pwd,pwd,Submit,form-control,1
input,password,Enter Password,pwd,Cancel,form-control,1
input,password,Enter Secret Phrase,pwd,log-in,form-control,1
input,password,Password,password,log-in,pwd-control-style,1
input,password,Pwd,password,log-in,pwd-control-style,1
input,password,Secret Phrase,password,log-in,pwd-control-style,1
input,password,Secret Code,password,log-in,pwd-control-style,1
input,password,Enter Pwd,password,log-in,pwd-control-style,1
input,password,Enter Password,password,log-in,pwd-control-style,1
input,password,Enter Secret Phrase,password,log-in,pwd-control-style,1
input,password,Password,pwd,log-in,form-control,1
input,password,Pwd,pwd,log-in,form-control,1
input,password,Secret Phrase,pwd,OK,form-control,1
input,password,Secret Code,pwd,Sign-In,form-control,1
input,password,Enter Pwd,pwd,Enter here,form-control,1
input,password,Enter Password,pwd,submit,form-control,1
input,password,Enter Secret Phrase,pwd,log-in,form-control,1
input,password,Password,pwd,log-in,pwd-control-style,1
input,password,Pwd,pwd,log-in,pwd-control-style,1
input,password,Secret Phrase,pwd,Sign-In,pwd-control-style,1
input,password,Secret Code,pwd,Enter here,pwd-control-style,1
input,password,Enter Pwd,pwd,submit,pwd-control-style,1
input,password,Enter Password,pwd,log-in,pwd-control-style,1
input,password,Enter Secret Phrase,pwd,log-in,pwd-control-style,1
input,password,Password,txtPassword,log-in,form-control,1
input,password,Pwd,txtPassword,Sign-In,form-control,1
input,password,Secret Phrase,txtPassword,Enter here,form-control,1
input,password,Secret Code,txtPassword,submit,form-control,1
input,password,Enter Pwd,txtPassword,log-in,form-control,1
input,password,Enter Password,txtPassword,log-in,form-control,1
input,password,Enter Secret Phrase,txtPassword,log-in,form-control,1
input,password,Password,password,Sign-In,pwd-control-style,1
input,password,Pwd,password,Enter here,pwd-control-style,1
input,password,Secret Phrase,password,submit,pwd-control-style,1
input,password,Secret Code,password,log-in,pwd-control-style,1
input,password,Enter Pwd,password,log-in,pwd-control-style,1
input,password,Enter Password,password,log-in,pwd-control-style,1
input,password,Enter Secret Phrase,password,submit,pwd-control-style,1
input,password,Password,txtPwd,log-in,pwd-control-style,1
input,password,Pwd,txtPwd,log-in,pwd-control-style,1
input,password,Secret Phrase,txtPwd,log-in,pwd-control-style,1
input,password,Secret Code,txtPwd,Sign-In,pwd-control-style,1
input,password,Enter Pwd,txtPwd,Enter here,pwd-control-style,1
input,password,Enter Password,txtPwd,submit,pwd-control-style,1
input,password,Enter Secret Phrase,txtPwd,log-in,pwd-control-style,1
input,password,Password,txtP,log-in,pwd-control-style,1
input,password,Pwd,txtP,log-in,pwd-control-style,1
input,password,Secret Phrase,txtP,Sign-In,pwd-control-style,1
input,password,Secret Code,txtP,Enter here,pwd-control-style,1
input,password,Enter Pwd,txtP,submit,pwd-control-style,1
input,password,Enter Password,txtP,log-in,pwd-control-style,1
input,password,Enter Secret Phrase,txtP,log-in,pwd-control-style,1
input,password,Password,txtSecretText,log-in,pwd-control-style,1
input,password,Pwd,txtSecretText,submit,pwd-control-style,1
input,password,Secret Phrase,txtSecretText,log-in,pwd-control-style,1
input,password,Secret Code,txtSecretText,log-in,pwd-control-style,1
input,password,Enter Pwd,txtSecretText,log-in,pwd-control-style,1
input,password,Enter Password,txtSecretText,,pwd-control-style,1
input,password,Enter Secret Phrase,txtSecretText,submit,pwd-control-style,1
input,password,Password,password,log-in,login-control-css,1
input,password,Pwd,password,log-in,login-control-css,1
input,password,Secret Phrase,password,log-in,login-control-css,1
input,password,Secret Code,password,password,login-control-css,1
input,password,Enter Pwd,password,password,login-control-css,1
input,password,Enter Password,password,password,login-control-css,1
input,password,Enter Secret Phrase,password,,login-control-css,1
input,password,Password,txtPwd,password,login-control-css,1
input,password,Pwd,txtPwd,password,login-control-css,1
input,password,Secret Phrase,txtPwd,,login-control-css,1
input,password,Secret Code,txtPwd,,login-control-css,1
input,password,Enter Pwd,txtPwd,,login-control-css,1
input,password,Enter Password,txtPwd,,login-control-css,1
input,password,Enter Secret Phrase,txtPwd,,login-control-css,1
input,password,Password,txtP,password,login-control-css,1
input,password,Pwd,txtP,password,login-control-css,1
input,password,Secret Phrase,txtP,password,login-control-css,1
input,password,Secret Code,txtP,password,login-control-css,1
input,password,Enter Pwd,txtP,password,login-control-css,1
input,password,Enter Password,txtP,password,login-control-css,1
input,password,Enter Secret Phrase,txtP,password,login-field-css,1
input,password,Enter Password,txtP,password,login-field-css,1
input,password,Enter Secret Phrase,txtP,password,login-control-css,1
input,password,Password,txtSecretText,password,login-control-css,1
input,password,Pwd,txtSecretText,Enter here,login-control-css,1
input,password,Secret Phrase,txtSecretText,Enter here,login-control-css,1
input,password,Secret Code,txtSecretText,Enter here,login-control-css,1
input,password,Enter Pwd,txtSecretText,Enter here,login-control-css,1
input,password,Enter Password,txtSecretText,Enter here,login-control-css,1
input,password,Enter Secret Phrase,txtSecretText,Enter here,login-control-css,1
input,password,Password,txtSecretText,Enter here,login-field-css,1
input,password,Pwd,txtSecretText,Enter here,login-field-css,1
input,password,Secret Phrase,txtSecretText,Enter here,login-field-css,1
input,password,Secret Code,txtSecretText,Enter here,login-field-css,1
input,password,Enter Pwd,txtSecretText,Enter here,login-field-css,1
input,password,Enter Password,txtSecretText,Enter here,login-field-css,1
input,password,Enter Secret Phrase,txtSecretText,Enter here,login-field-css,1
input,submit,a-button-input,login,Login,btn btn-primary btn-lg pull-right,1
input,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,btnLogin,Login,btn btn-primary btn-lg pull-right,1
input,submit,,btnSubmit,Submit,btn btn-primary btn-lg pull-right,1
input,submit,,btnOk,OK,btn btn-primary btn-lg pull-right,1
input,submit,a-button-input,ok,ok,btn btn-primary btn-lg pull-right,1
input,submit,a-button-input,submit,Submit,btn btn-primary btn-lg pull-right,1
input,submit,a-button-input,sign-in,Sign-In,btn btn-primary btn-lg pull-right,1
input,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,btnsignin,Sing-In,btn btn-primary btn-lg pull-right,1
input,submit,,login,LOGIN,login-field-css,1
input,submit,a-button-input,btnLogin,Login,login-field-css,1
input,submit,a-button-input,btnSubmit,Submit,login-field-css,1
input,submit,a-button-input,btnOk,OK,login-field-css,1
input,submit,,ok,OK,login-field-css,1
input,submit,a-button-input,submit,Submit,login-field-css,1
input,submit,booking large,sign-in,Sign-In,login-field-css,1
input,submit,,btnsignin,Sign-In,login-field-css,1
input,submit,a-button-input,login,Login,login-button-style,1
input,submit,,btnLogin,Login,login-button-style,1
input,submit,a-button-input,btnSubmit,Submit,login-button-style,1
input,submit,,btnOk,OK,login-button-style,1
input,submit,,ok,OK,login-button-style,1
input,submit,,submit,Submit,login-button-style,1
input,submit,,sign-in,Sign-In,login-button-style,1
input,submit,,btnsignin,Sign-In,login-button-style,1
input,button,,login,Login,btn btn-primary btn-lg pull-right,1
input,button,,btnLogin,Login,btn btn-primary btn-lg pull-right,1
input,button,,btnSubmit,Submit,btn btn-primary btn-lg pull-right,1
input,button,,btnOk,OK,btn btn-primary btn-lg pull-right,1
input,button,,ok,OK,btn btn-primary btn-lg pull-right,1
input,button,,submit,Submit,btn btn-primary btn-lg pull-right,1
input,button,a-button-input,sign-in,Sign-In,btn btn-primary btn-lg pull-right,1
input,button,,btnsignin,Sign-In,btn btn-primary btn-lg pull-right,1
input,button,a-button-input,login,Login,login-field-css,1
input,button,a-button-input,btnLogin,Login,login-field-css,1
input,button,,btnSubmit,Submit,login-field-css,1
input,button,a-button-input,btnOk,OK,login-field-css,1
input,button,fl button,ok,OK,login-field-css,1
input,button,action-button M12A,submit,Submit,login-field-css,1
input,button,,sign-in,Sign-In,login-field-css,1
input,button,_3y9b  _1wLi _2vdF,btnsignin,Sign-In,login-field-css,1
input,button,booking large,login,Login,login-button-style,1
input,button,inputtext _58mg _5dba _2ph-,btnLogin,Login,login-button-style,1
input,button,a-button-input,btnSubmit,Submit,login-button-style,1
input,button,fl button,btnOk,OK,login-button-style,1
input,button,action-button M12A,ok,OK,login-button-style,1
input,button,,submit,Sign-In,login-button-style,1
input,button,,sign-in,Sign-In,login-button-style,1
input,button,,btnsignin,Sign-In,login-button-style,1
input,text,UserName,,,form-control,0
input,text,UserName,,username,form-control,0
input,text,UserName,login,password,form-control,0
input,text,Name,,Submit,form-control,0
input,text,Name,,Cancel,form-control,0
input,xyz,,,log-in,,0
input,text,User,,log-in,form-control,0
input,text,,,username,,0
input,xyz,User,,password,form-control,0
input,xyz,,login,Submit,,0
input,xyz,,,Cancel,form-control,0
div,text,UserName,login,log-in,form-control,0
div,text,,,log-in,form-control,0
div,xyz,,login,log-in,form-control,0
div,xyz,Name,login,log-in,form-control,0
div,xyz,,,OK,form-control,0
div,xyz,,,username,,0
div,text,User,,password,form-control,0
div,text,,,Submit,,0
div,xyz,User,,Cancel,form-control,0
div,xyz,,login,log-in,,0
div,xyz,,submit,log-in,form-control,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,sign-in,log-in,loginbutton,1
button,submit,,btnsignin,log-in,,0
input,submit,a-button-input,login,log-in,continue,1
a,,,btnLogin,log-in,createAccountSubmit,0
input,submit,a-button-input,btnSubmit,log-in,signInSubmit,1
input,submit,a-button-input,btnOk,log-in,,0
input,submit,,ok,log-in,,0
input,submit,a-button-input,submit,log-in,,0
button,,fl button,sign-in,OK,search_btn,1
button,,action-button M12A,btnsignin,Sign-In,doSignin,1
button,,,login,Enter here,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,,submit,,0
input,submit,booking large,,log-in,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,text,log-in,,1
input,email,inputtext,,log-in,email,1
input,password,inputtext,,Sign-In,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,Enter here,login-control-style,1
input,text,inputtext _58mg _5dba _2ph-,text,submit,login-field-control-style,1
input,password,inputtext _58mg _5dba _2ph-,password,log-in,login-text-field-style,1
input,text,_2zrpKA,,log-in,login-text-style,1
input,password,_2zrpKA _3v41xv,,log-in,login-text-css,1
input,text,_2zrpKA,btnSubmit,Sign-In,login-control-css,0
input,text,_2zrpKA,btnOk,Enter here,login-control-style,0
input,password,_2zrpKA,ok,submit,login-field-control-style,1
input,text,_16qL6K _366U7Q,submit,log-in,login-text-field-style,0
input,text,_16qL6K _366U7Q,sign-in,log-in,login-text-style,0
input,text,_16qL6K _366U7Q,btnsignin,log-in,login-text-css,0
input,text,_16qL6K _366U7Q,login,Sign-In,login-control-css,0
input,text,_16qL6K _366U7Q,,Enter here,ap_email,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,,submit,ap_email,0
input,password,a-input-text hide,text,log-in,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,,log-in,ap_password,1
input,text,,,log-in,address-ui-widgets-enterAddressFullName,0
input,text,,text,submit,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,text,log-in,,0
input,text,IP signInInp b-email,password,log-in,email-mobile,0
input,search,,,log-in,,0
input,submit,,,Sign-In,u_0_13,0
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,,Enter here,,1
button,submit,,,submit,,1
button,,uiButton,submit,log-in,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,sign-in,log-in,loginbutton,1
button,submit,,btnsignin,log-in,,0
input,submit,a-button-input,login,Sign-In,continue,0
a,,,btnLogin,Enter here,createAccountSubmit,0
input,submit,a-button-input,btnSubmit,submit,signInSubmit,1
input,submit,a-button-input,btnOk,log-in,,1
input,submit,,ok,log-in,,1
input,submit,a-button-input,submit,log-in,,0
button,,fl button,sign-in,,search_btn,1
button,,action-button M12A,btnsignin,btnsign,doSignin,1
button,,,login,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,,,,0
input,submit,booking large,,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,,,email,0
input,password,inputtext,,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,ap_email,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,ap-credential-autofill-hint,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,ap_password,1
input,text,_2zrpKA,text,pass,address-ui-widgets-enterAddressFullName,0
input,password,_2zrpKA _3v41xv,text,lastname,ap_customer_name,0
input,text,_2zrpKA,password,reg_email__,,0
input,text,_2zrpKA,text,reg_passwd__,email-mobile,0
input,password,_2zrpKA,text,,ap_email,0
input,text,_16qL6K _366U7Q,password,name,ap-credential-autofill-hint,0
input,text,_16qL6K _366U7Q,text,addressLine8,ap_password,0
input,text,_16qL6K _366U7Q,submit,pincode,address-ui-widgets-enterAddressFullName,0
input,text,_16qL6K _366U7Q,sign-in,city,ap_customer_name,0
input,text,_16qL6K _366U7Q,btnsignin,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,login,email,email-mobile,0
input,password,a-input-text hide,btnLogin,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,btnSubmit,password,ap_password,1
input,text,,btnOk,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,ok,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,submit,secondaryLoginClaim,,0
input,text,IP signInInp b-email,sign-in,,email-mobile,0
input,search,,btnsignin,firstName,,0
input,submit,,login,,u_0_14,0
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,,websubmit,,1
button,submit,,submit,did_submit,,1
button,,uiButton,sign-in,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,btnsignin,login,loginbutton,1
button,submit,,login,websubmit,,1
input,submit,a-button-input,btnLogin,,continue,0
a,,,btnSubmit,,createAccountSubmit,1
input,submit,a-button-input,btnOk,,signInSubmit,1
input,submit,a-button-input,ok,submit.addToCart,,1
input,submit,,submit,proceedToCheckout,,1
input,submit,a-button-input,sign-in,,,0
button,,fl button,btnsignin,,search_btn,0
button,,action-button M12A,login,,doSignin,1
button,,,,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,,,,0
input,submit,booking large,,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,,,email,1
input,password,inputtext,,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,continue,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,createAccountSubmit,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,signInSubmit,1
input,text,_2zrpKA,,,,0
input,password,_2zrpKA _3v41xv,,,,0
input,text,_2zrpKA,,,,0
input,text,_2zrpKA,,,search_btn,0
input,password,_2zrpKA,,,doSignin,0
input,text,_16qL6K _366U7Q,,name,copyReferCode,0
input,text,_16qL6K _366U7Q,btnSubmit,addressLine9,,0
input,text,_16qL6K _366U7Q,btnOk,pincode,,0
input,text,_16qL6K _366U7Q,ok,city,,0
input,text,_16qL6K _366U7Q,submit,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,sign-in,email,ap_email,0
input,password,a-input-text hide,btnsignin,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,login,password,ap_password,1
input,text,,,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,text,secondaryLoginClaim,,0
input,text,IP signInInp b-email,,,email-mobile,0
input,search,,,firstName,,0
input,submit,,text,,u_0_15,0
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,text,websubmit,,1
button,submit,,password,did_submit,,1
button,,uiButton,,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,submit,login,loginbutton,1
button,submit,,sign-in,websubmit,,1
input,submit,a-button-input,btnsignin,,continue,0
a,,,login,,createAccountSubmit,1
input,submit,a-button-input,btnLogin,,signInSubmit,1
input,submit,a-button-input,btnSubmit,submit.addToCart,,1
input,submit,,btnOk,proceedToCheckout,,0
input,submit,a-button-input,ok,,,0
button,,fl button,submit,,search_btn,0
button,,action-button M12A,sign-in,,doSignin,1
button,,,btnsignin,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,login,,,0
input,submit,booking large,,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,,,email,0
input,password,inputtext,,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,continue,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,createAccountSubmit,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,signInSubmit,1
input,text,_2zrpKA,submit,,,0
input,password,_2zrpKA _3v41xv,sign-in,,,0
input,text,_2zrpKA,btnsignin,,,0
input,text,_2zrpKA,login,,search_btn,0
input,password,_2zrpKA,btnLogin,,doSignin,0
input,text,_16qL6K _366U7Q,btnSubmit,name,copyReferCode,0
input,text,_16qL6K _366U7Q,btnOk,addressLine10,,0
input,text,_16qL6K _366U7Q,ok,pincode,,0
input,text,_16qL6K _366U7Q,submit,city,,0
input,text,_16qL6K _366U7Q,sign-in,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,btnsignin,email,ap_email,0
input,password,a-input-text hide,login,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,,password,ap_password,1
input,text,,text,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,,secondaryLoginClaim,,0
input,text,IP signInInp b-email,text,,email-mobile,0
input,search,,text,firstName,,0
input,submit,,password,,u_0_16,0
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,,websubmit,,1
button,submit,,,did_submit,,1
button,,uiButton,,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,,login,loginbutton,1
button,submit,,,websubmit,,1
input,submit,a-button-input,,,continue,0
a,,,,,createAccountSubmit,1
input,submit,a-button-input,,,signInSubmit,1
input,submit,a-button-input,,submit.addToCart,,1
input,submit,,,proceedToCheckout,,0
input,submit,a-button-input,,,,0
button,,fl button,,,search_btn,1
button,,action-button M12A,,,doSignin,1
button,,,,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,,,,1
input,submit,booking large,,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,,,email,1
input,password,inputtext,,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,ap_email,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,ap-credential-autofill-hint,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,ap_password,1
input,text,_2zrpKA,submit,,address-ui-widgets-enterAddressFullName,0
input,password,_2zrpKA _3v41xv,sign-in,,ap_customer_name,0
input,text,_2zrpKA,btnsignin,,,0
input,text,_2zrpKA,login,,email-mobile,0
input,password,_2zrpKA,btnLogin,,,0
input,text,_16qL6K _366U7Q,btnSubmit,name,,0
input,text,_16qL6K _366U7Q,btnOk,addressLine11,,0
input,text,_16qL6K _366U7Q,ok,pincode,,0
input,text,_16qL6K _366U7Q,submit,city,,0
input,text,_16qL6K _366U7Q,sign-in,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,btnsignin,email,ap_email,0
